exchangedate,cc,enname,rate,units
01.01.2021,EUR,Euro,34.7396,1
01.02.2021,EUR,Euro,34.157,1
01.03.2021,EUR,Euro,33.8449,1
01.04.2021,EUR,Euro,32.629,1
01.05.2021,EUR,Euro,33.6427,1
01.06.2021,EUR,Euro,33.5116,1
01.07.2021,EUR,Euro,32.3463,1
01.08.2021,EUR,Euro,31.9239,1
01.09.2021,EUR,Euro,31.8317,1
01.10.2021,EUR,Euro,30.8231,1
01.11.2021,EUR,Euro,30.5953,1
01.12.2021,EUR,Euro,30.9221,1
02.01.2021,EUR,Euro,34.7396,1
02.02.2021,EUR,Euro,33.9039,1
02.03.2021,EUR,Euro,33.717,1
02.04.2021,EUR,Euro,32.7003,1
02.05.2021,EUR,Euro,33.6427,1
02.06.2021,EUR,Euro,33.5335,1
02.07.2021,EUR,Euro,32.5227,1
02.08.2021,EUR,Euro,31.8946,1
02.09.2021,EUR,Euro,31.9323,1
02.10.2021,EUR,Euro,30.8231,1
02.11.2021,EUR,Euro,30.4358,1
02.12.2021,EUR,Euro,30.8443,1
03.01.2021,EUR,Euro,34.7396,1
03.02.2021,EUR,Euro,33.7913,1
03.03.2021,EUR,Euro,33.6006,1
03.04.2021,EUR,Euro,32.7003,1
03.05.2021,EUR,Euro,33.6427,1
03.06.2021,EUR,Euro,33.3348,1
03.07.2021,EUR,Euro,32.5227,1
03.08.2021,EUR,Euro,31.9032,1
03.09.2021,EUR,Euro,32.0067,1
03.10.2021,EUR,Euro,30.8231,1
03.11.2021,EUR,Euro,30.4903,1
03.12.2021,EUR,Euro,30.9438,1
04.01.2021,EUR,Euro,34.7396,1
04.02.2021,EUR,Euro,33.6374,1
04.03.2021,EUR,Euro,33.5565,1
04.04.2021,EUR,Euro,32.7003,1
04.05.2021,EUR,Euro,33.6427,1
04.06.2021,EUR,Euro,33.2577,1
04.07.2021,EUR,Euro,32.5227,1
04.08.2021,EUR,Euro,31.8913,1
04.09.2021,EUR,Euro,32.0067,1
04.10.2021,EUR,Euro,30.8716,1
04.11.2021,EUR,Euro,30.3646,1
04.12.2021,EUR,Euro,30.9438,1
05.01.2021,EUR,Euro,34.9389,1
05.02.2021,EUR,Euro,33.4509,1
05.03.2021,EUR,Euro,33.4062,1
05.04.2021,EUR,Euro,32.8365,1
05.05.2021,EUR,Euro,33.5112,1
05.06.2021,EUR,Euro,33.2577,1
05.07.2021,EUR,Euro,32.4107,1
05.08.2021,EUR,Euro,31.9482,1
05.09.2021,EUR,Euro,32.0067,1
05.10.2021,EUR,Euro,30.9261,1
05.11.2021,EUR,Euro,30.2848,1
05.12.2021,EUR,Euro,30.9438,1
06.01.2021,EUR,Euro,34.846,1
06.02.2021,EUR,Euro,33.4509,1
06.03.2021,EUR,Euro,33.4062,1
06.04.2021,EUR,Euro,32.8632,1
06.05.2021,EUR,Euro,33.2751,1
06.06.2021,EUR,Euro,33.2577,1
06.07.2021,EUR,Euro,32.3732,1
06.08.2021,EUR,Euro,31.8964,1
06.09.2021,EUR,Euro,31.9684,1
06.10.2021,EUR,Euro,30.6536,1
06.11.2021,EUR,Euro,30.2848,1
